Provinsi,Perkotaan,Perdesaan,Perkotaan+Perdesaan,Tahun
KALIMANTAN UTARA,98,80.52,91.59,2025
KEP. BANGKA BELITUNG,36.13,40.22,38.17,2010
KEP. BANGKA BELITUNG,76.96,50.75,63.63,2011
KEP. BANGKA BELITUNG,76.23,53.53,64.74,2012
KEP. BANGKA BELITUNG,76.34,55.72,65.72,2013
KEP. BANGKA BELITUNG,75.4,51.66,63.2,2014
KEP. BANGKA BELITUNG,77.5,59.15,68.03,2015
KEP. BANGKA BELITUNG,72.03,55.83,63.95,2016
KEP. BANGKA BELITUNG,74.95,60.66,68.14,2017
KEP. BANGKA BELITUNG,75.15,57.31,66.83,2018
KEP. BANGKA BELITUNG,81.09,63.97,73.45,2019
KEP. BANGKA BELITUNG,82.3,66.2,75.06,2020
KEP. BANGKA BELITUNG,77.44,68.12,73.4,2021
KEP. BANGKA BELITUNG,85.62,74.82,80.96,2022
KEP. BANGKA BELITUNG,86.07,75.07,81.64,2023
KEP. BANGKA BELITUNG,87.06,77.09,82.97,2024
KEP. BANGKA BELITUNG,86.7,78.93,83.54,2025
KEP. RIAU,21.69,34.72,23.82,2010
KEP. RIAU,88.45,43.9,81.19,2011
KEP. RIAU,84.32,41.24,77.1,2012
KEP. RIAU,85.8,36.49,77.9,2013
KEP. RIAU,88.05,41.79,81.04,2014
KEP. RIAU,89.54,55.88,84.12,2015
KEP. RIAU,90.39,56.41,85.31,2016
KEP. RIAU,87.88,61.19,83.95,2017
KEP. RIAU,87.55,58.84,83.56,2018
KEP. RIAU,91.75,60.03,88.51,2019
KEP. RIAU,93.94,58.61,90.41,2020
KEP. RIAU,92.97,64.57,90.83,2021
KEP. RIAU,93.12,80.88,91.82,2022
KEP. RIAU,94.78,71.03,92.1,2023
KEP. RIAU,96.9,75.16,94.71,2024
KEP. RIAU,95.99,76.65,94.6,2025
LAMPUNG,34.02,39.36,38.07,2010
LAMPUNG,63.24,44.78,49.27,2011
LAMPUNG,66.21,42.93,48.59,2012
LAMPUNG,68.94,48.35,53.37,2013
LAMPUNG,67.63,44.19,49.92,2014
LAMPUNG,72.13,49.55,55.06,2015
LAMPUNG,72.83,45.56,52.41,2016
LAMPUNG,71.2,47.71,53.79,2017
LAMPUNG,72.08,50.85,56.78,2018
LAMPUNG,81.91,69.7,73.3,2019
LAMPUNG,86.98,70.03,74.97,2020
LAMPUNG,87.5,77,80.2,2021
LAMPUNG,88.39,78.48,81.6,2022
LAMPUNG,91.81,78.29,82.78,2023
LAMPUNG,92.3,80.7,84.51,2024
LAMPUNG,91.26,82.14,85.13,2025
MALUKU,65.56,51.47,56.95,2010
MALUKU,71.05,49.12,57.64,2011
MALUKU,68.38,49.21,56.53,2012
MALUKU,72.53,49.68,58.49,2013
MALUKU,77.75,49.65,60.77,2014
MALUKU,78.93,55.7,64.96,2015
MALUKU,84.05,55.13,67.2,2016
MALUKU,82.99,57.48,68.34,2017
MALUKU,88.64,67.23,76.47,2018
MALUKU,95.41,87.1,90.83,2019
MALUKU,97.13,87.05,91.68,2020
MALUKU,97.46,89.5,93.21,2021
MALUKU,97.47,87.75,92.1,2022
MALUKU,97.92,89.44,92.98,2023
MALUKU,97.72,89.73,93.32,2024
MALUKU,95.95,90.02,92.83,2025
MALUKU UTARA,68.75,48.57,54.18,2010
MALUKU UTARA,85,43.05,54.37,2011
MALUKU UTARA,82.11,42.98,53.8,2012
MALUKU UTARA,86.44,45.64,57.19,2013
MALUKU UTARA,88.97,44.2,57.03,2014
MALUKU UTARA,87.5,49.69,60.07,2015
MALUKU UTARA,87.71,53.46,62.99,2016
MALUKU UTARA,87.18,57.18,65.73,2017
MALUKU UTARA,92.35,59.38,69.17,2018
MALUKU UTARA,98.83,79.26,85.04,2019
MALUKU UTARA,97.36,82.34,86.9,2020
MALUKU UTARA,96.58,85.2,88.66,2021
MALUKU UTARA,98.26,83.91,88.1,2022
MALUKU UTARA,97.01,85.58,89.01,2023
MALUKU UTARA,96.73,85.51,88.92,2024
MALUKU UTARA,96.94,86.99,90.01,2025
NUSA TENGGARA BARAT,50.44,43.15,46.2,2010
NUSA TENGGARA BARAT,66.7,47.52,55.35,2011
NUSA TENGGARA BARAT,66.08,50.74,57.01,2012
NUSA TENGGARA BARAT,71.82,50.73,59.45,2013
NUSA TENGGARA BARAT,74.37,57.03,64.33,2014
NUSA TENGGARA BARAT,78.22,67.07,71.7,2015
NUSA TENGGARA BARAT,80.26,69.26,73.98,2016
NUSA TENGGARA BARAT,76.33,65.84,70.48,2017
NUSA TENGGARA BARAT,82.2,66.25,73.61,2018
NUSA TENGGARA BARAT,96.86,91.27,93.93,2019
NUSA TENGGARA BARAT,97.56,91.01,94.13,2020
NUSA TENGGARA BARAT,96.96,92.33,94.6,2021
NUSA TENGGARA BARAT,97.12,93.7,95.4,2022
NUSA TENGGARA BARAT,96.5,95.52,96.03,2023
NUSA TENGGARA BARAT,96.76,95.46,96.13,2024
NUSA TENGGARA BARAT,97.47,94.99,96.29,2025
NUSA TENGGARA TIMUR,69.43,44.43,49.29,2010
NUSA TENGGARA TIMUR,76.36,47.35,53.03,2011
NUSA TENGGARA TIMUR,81.88,47.75,54.37,2012
NUSA TENGGARA TIMUR,82.93,48.11,54.85,2013
NUSA TENGGARA TIMUR,83.13,47.99,54.88,2014
NUSA TENGGARA TIMUR,83.1,57.46,62.72,2015
NUSA TENGGARA TIMUR,80.95,54.68,60.04,2016
NUSA TENGGARA TIMUR,83.21,60.16,65.2,2017
NUSA TENGGARA TIMUR,90.28,66.87,72.41,2018
NUSA TENGGARA TIMUR,97.16,77.63,82.35,2019
NUSA TENGGARA TIMUR,93.43,80.73,83.87,2020
NUSA TENGGARA TIMUR,95.6,81.82,85.4,2021
NUSA TENGGARA TIMUR,97.03,83.03,86.76,2022
NUSA TENGGARA TIMUR,96.06,85.34,88.35,2023
NUSA TENGGARA TIMUR,94.67,86.28,88.55,2024
NUSA TENGGARA TIMUR,97.13,87.05,89.86,2025
PAPUA,43.63,28.59,32.42,2010
PAPUA,78.12,26.76,39.43,2011
PAPUA,80.66,27.44,40.43,2012
PAPUA,83.67,36.43,47.7,2013
PAPUA,86.37,36.99,48.99,2014
PAPUA,86.78,39.67,51.27,2015
PAPUA,86.31,41.84,52.69,2016
PAPUA,85.33,49.86,59.09,2017
PAPUA,86.11,48.75,58.35,2018
